start
[71.126, 14.252, 4.13, 2.644, 5.374, 1.538, 0.935]
[71.126, 14.252, 4.13, 2.644, 5.374, 1.538, 0.935]
[71.126, 14.252, 4.13, 2.644, 5.374, 1.538, 0.935]
[62.403, 18.575, 4.044, 3.682, 6.418, 3.651, 1.226]
[72.163, 14.587, 3.162, 2.678, 4.717, 1.554, 1.139]
[48.948, 33.991, 5.665, 1.76, 7.063, 1.286, 1.286]
[48.948, 33.991, 5.665, 1.76, 7.063, 1.286, 1.286]
[80.799, 8.421, 5.729, 1.034, 1.988, 1.243, 0.786]
[75.837, 9.856, 6.497, 1.633, 4.171, 1.29, 0.716]
[84.001, 7.727, 2.035, 1.652, 2.742, 1.248, 0.593]
[84.001, 7.727, 2.035, 1.652, 2.742, 1.248, 0.593]
[84.001, 7.727, 2.035, 1.652, 2.742, 1.248, 0.593]
[33.577, 14.421, 8.75, 14.154, 5.218, 22.536, 1.345]
[50.379, 17.539, 7.942, 15.237, 4.732, 2.651, 1.52]
[50.379, 17.539, 7.942, 15.237, 4.732, 2.651, 1.52]
[50.379, 17.539, 7.942, 15.237, 4.732, 2.651, 1.52]
[87.779, 0.775, 1.54, 6.941, 0.873, 1.775, 0.316]
[90.367, 0.817, 2.996, 1.756, 0.865, 2.727, 0.471]
[79.552, 2.159, 1.939, 8.426, 1.987, 5.442, 0.496]
[79.552, 2.159, 1.939, 8.426, 1.987, 5.442, 0.496]
[79.552, 2.159, 1.939, 8.426, 1.987, 5.442, 0.496]
[73.271, 10.199, 4.119, 6.913, 1.036, 3.624, 0.838]
[69.738, 9.861, 2.866, 7.735, 1.584, 7.369, 0.847]
[69.738, 9.861, 2.866, 7.735, 1.584, 7.369, 0.847]
[69.738, 9.861, 2.866, 7.735, 1.584, 7.369, 0.847]
[89.721, 4.152, 1.229, 2.055, 0.635, 1.738, 0.47]
[89.721, 4.152, 1.229, 2.055, 0.635, 1.738, 0.47]
[87.513, 2.848, 2.417, 3.338, 1.024, 2.323, 0.537]
[87.513, 2.848, 2.417, 3.338, 1.024, 2.323, 0.537]
[76.344, 6.262, 4.085, 4.599, 2.213, 5.719, 0.777]
[77.593, 1.416, 5.07, 9.081, 2.278, 4.214, 0.347]
[77.593, 1.416, 5.07, 9.081, 2.278, 4.214, 0.347]
[77.593, 1.416, 5.07, 9.081, 2.278, 4.214, 0.347]
[77.593, 1.416, 5.07, 9.081, 2.278, 4.214, 0.347]
[80.316, 0.987, 5.375, 8.843, 1.747, 2.407, 0.323]
[80.316, 0.987, 5.375, 8.843, 1.747, 2.407, 0.323]
[72.208, 1.674, 9.959, 6.76, 3.05, 5.927, 0.421]
[72.208, 1.674, 9.959, 6.76, 3.05, 5.927, 0.421]
[72.208, 1.674, 9.959, 6.76, 3.05, 5.927, 0.421]
[63.009, 0.778, 3.106, 15.789, 3.944, 12.132, 1.242]
[63.009, 0.778, 3.106, 15.789, 3.944, 12.132, 1.242]
[90.002, 1.552, 1.824, 1.326, 1.393, 3.092, 0.811]
[90.002, 1.552, 1.824, 1.326, 1.393, 3.092, 0.811]
[90.002, 1.552, 1.824, 1.326, 1.393, 3.092, 0.811]
[77.439, 0.972, 4.027, 4.484, 5.381, 5.834, 1.861]
[81.162, 0.789, 8.852, 3.336, 3.035, 2.488, 0.339]
[73.341, 0.379, 8.046, 4.988, 5.212, 6.94, 1.093]
[73.341, 0.379, 8.046, 4.988, 5.212, 6.94, 1.093]
[59.751, 0.291, 4.0, 20.826, 8.227, 6.222, 0.684]
[70.952, 0.223, 4.304, 11.284, 5.045, 6.882, 1.311]
[71.774, 0.452, 3.661, 9.038, 4.237, 9.629, 1.209]
[71.774, 0.452, 3.661, 9.038, 4.237, 9.629, 1.209]
[85.401, 0.411, 2.521, 2.444, 1.488, 6.952, 0.783]
[85.401, 0.411, 2.521, 2.444, 1.488, 6.952, 0.783]
[91.525, 0.132, 1.893, 1.649, 0.722, 3.303, 0.775]
[91.525, 0.132, 1.893, 1.649, 0.722, 3.303, 0.775]
[91.525, 0.132, 1.893, 1.649, 0.722, 3.303, 0.775]
[91.525, 0.132, 1.893, 1.649, 0.722, 3.303, 0.775]
[79.099, 0.285, 3.32, 4.651, 4.316, 7.479, 0.85]
[75.527, 0.291, 3.689, 9.132, 4.851, 6.013, 0.497]
[75.527, 0.291, 3.689, 9.132, 4.851, 6.013, 0.497]
[53.704, 0.333, 4.812, 28.81, 5.2, 5.992, 1.149]
[53.704, 0.333, 4.812, 28.81, 5.2, 5.992, 1.149]
[62.373, 0.297, 8.395, 15.411, 7.59, 5.622, 0.312]
[62.373, 0.297, 8.395, 15.411, 7.59, 5.622, 0.312]
[70.073, 0.284, 6.553, 8.946, 6.261, 7.094, 0.79]
[70.073, 0.284, 6.553, 8.946, 6.261, 7.094, 0.79]
[63.499, 0.29, 2.508, 18.849, 6.442, 7.484, 0.927]
[63.499, 0.29, 2.508, 18.849, 6.442, 7.484, 0.927]
[63.499, 0.29, 2.508, 18.849, 6.442, 7.484, 0.927]
[57.201, 0.25, 7.02, 17.284, 11.851, 5.677, 0.718]
[57.201, 0.25, 7.02, 17.284, 11.851, 5.677, 0.718]
[72.646, 0.154, 2.204, 20.098, 2.537, 1.9, 0.462]
[72.646, 0.154, 2.204, 20.098, 2.537, 1.9, 0.462]
[75.076, 0.139, 4.428, 12.402, 3.783, 3.805, 0.367]
[75.076, 0.139, 4.428, 12.402, 3.783, 3.805, 0.367]
[60.581, 0.279, 5.778, 18.114, 8.26, 6.444, 0.544]
[60.581, 0.279, 5.778, 18.114, 8.26, 6.444, 0.544]
[60.581, 0.279, 5.778, 18.114, 8.26, 6.444, 0.544]
